id,type,readonly,group,name
93,8,0,flightmode,stabModeYaw
94,8,0,locSrv,enRangeStreamFP32
95,8,0,locSrv,enLhAngleStream
96,6,0,locSrv,extPosStdDev
97,6,0,locSrv,extQuatStdDev
98,9,0,crtpsrv,echoDelay
99,8,0,health,startPropTest
100,8,0,health,startBatTest
101,9,0,health,propTestPWMRatio
102,9,0,health,batTestPWMRatio
103,6,0,kalman,maxPos
104,6,0,kalman,maxVel
105,8,0,kalman,resetEstimation
106,8,0,kalman,robustTdoa
107,8,0,kalman,robustTwr
108,6,0,kalman,pNAcc_xy
109,6,0,kalman,pNAcc_z
110,6,0,kalman,pNVel
111,6,0,kalman,pNPos
112,6,0,kalman,pNAtt
113,6,0,kalman,mNBaro
114,6,0,kalman,mNGyro_rollpitch
115,6,0,kalman,mNGyro_yaw
116,6,0,kalman,initialX
117,6,0,kalman,initialY
118,6,0,kalman,initialZ
119,6,0,kalman,initialYaw
120,8,0,memTst,resetW
121,10,0,powerDist,idleThrust
122,6,0,quadSysId,thrustToTorque
123,6,0,quadSysId,pwmToThrustA
124,6,0,quadSysId,pwmToThrustB
125,6,0,quadSysId,armLength
126,6,0,sensfusion6,kp
127,6,0,sensfusion6,ki
128,6,0,sensfusion6,baseZacc
129,8,0,sound,effect
130,10,1,sound,neffect
131,9,0,sound,freq
132,8,0,stabilizer,estimator
133,8,0,stabilizer,controller
134,8,0,stabilizer,stop
135,8,0,supervisor,infdmp
136,9,0,supervisor,landedTimeout
137,9,1,cpu,flash
138,10,1,cpu,id0
139,10,1,cpu,id1
140,10,1,cpu,id2
141,8,0,tdoaEngine,logId
142,8,0,tdoaEngine,logOthrId
143,8,0,tdoaEngine,matchAlgo
144,8,0,lighthouse,method
145,8,0,lighthouse,bsCalibReset
146,8,0,lighthouse,systemType
147,9,1,lighthouse,bsAvailable
148,6,0,lighthouse,sweepStd
149,6,0,lighthouse,sweepStd2
150,8,0,lighthouse,enLhRawStream
151,9,0,lighthouse,lh2maxRate
152,6,0,pid_attitude,roll_kp
153,6,0,pid_attitude,roll_ki
154,6,0,pid_attitude,roll_kd
155,6,0,pid_attitude,roll_kff
156,6,0,pid_attitude,pitch_kp
157,6,0,pid_attitude,pitch_ki
158,6,0,pid_attitude,pitch_kd
159,6,0,pid_attitude,pitch_kff
160,6,0,pid_attitude,yaw_kp
161,6,0,pid_attitude,yaw_ki
162,6,0,pid_attitude,yaw_kd
163,6,0,pid_attitude,yaw_kff
164,6,0,pid_attitude,yawMaxDelta
165,0,0,pid_attitude,attFiltEn
166,6,0,pid_attitude,attFiltCut
167,6,0,pid_rate,roll_kp
168,6,0,pid_rate,roll_ki
169,6,0,pid_rate,roll_kd
170,6,0,pid_rate,roll_kff
171,6,0,pid_rate,pitch_kp
172,6,0,pid_rate,pitch_ki
173,6,0,pid_rate,pitch_kd
174,6,0,pid_rate,pitch_kff
175,6,0,pid_rate,yaw_kp
176,6,0,pid_rate,yaw_ki
177,6,0,pid_rate,yaw_kd
178,6,0,pid_rate,yaw_kff
179,0,0,pid_rate,rateFiltEn
180,6,0,pid_rate,omxFiltCut
181,6,0,pid_rate,omyFiltCut
182,6,0,pid_rate,omzFiltCut
183,6,0,ctrlINDI,thrust_threshold
184,6,0,ctrlINDI,bound_ctrl_input
185,6,0,ctrlINDI,g1_p
186,6,0,ctrlINDI,g1_q
187,6,0,ctrlINDI,g1_r
188,6,0,ctrlINDI,g2
189,6,0,ctrlINDI,ref_err_p
190,6,0,ctrlINDI,ref_err_q
191,6,0,ctrlINDI,ref_err_r
192,6,0,ctrlINDI,ref_rate_p
193,6,0,ctrlINDI,ref_rate_q
194,6,0,ctrlINDI,ref_rate_r
195,6,0,ctrlINDI,act_dyn_p
196,6,0,ctrlINDI,act_dyn_q
197,6,0,ctrlINDI,act_dyn_r
198,6,0,ctrlINDI,filt_cutoff
199,6,0,ctrlINDI,filt_cutoff_r
200,8,0,ctrlINDI,outerLoopActive
201,6,0,ctrlMel,kp_xy
202,6,0,ctrlMel,kd_xy
203,6,0,ctrlMel,ki_xy
204,6,0,ctrlMel,i_range_xy
205,6,0,ctrlMel,kp_z
206,6,0,ctrlMel,kd_z
207,6,0,ctrlMel,ki_z
208,6,0,ctrlMel,i_range_z
209,6,0,ctrlMel,mass
210,6,0,ctrlMel,massThrust
211,6,0,ctrlMel,kR_xy
212,6,0,ctrlMel,kR_z
213,6,0,ctrlMel,kw_xy
214,6,0,ctrlMel,kw_z
215,6,0,ctrlMel,ki_m_xy
216,6,0,ctrlMel,ki_m_z
217,6,0,ctrlMel,kd_omega_rp
218,6,0,ctrlMel,i_range_m_xy
219,6,0,ctrlMel,i_range_m_z
220,6,0,ctrlAtt,tau_xy
221,6,0,ctrlAtt,zeta_xy
222,6,0,ctrlAtt,tau_z
223,6,0,ctrlAtt,zeta_z
224,6,0,ctrlAtt,tau_rp
225,6,0,ctrlAtt,mixing_factor
226,6,0,ctrlAtt,coll_fairness
227,6,0,posCtrlIndi,K_xi_x
228,6,0,posCtrlIndi,K_xi_y
229,6,0,posCtrlIndi,K_xi_z
230,6,0,posCtrlIndi,K_dxi_x
231,6,0,posCtrlIndi,K_dxi_y
232,6,0,posCtrlIndi,K_dxi_z
233,6,0,posCtrlIndi,pq_clamping
234,6,0,posCtlPid,xKp
235,6,0,posCtlPid,xKi
236,6,0,posCtlPid,xKd
237,6,0,posCtlPid,xKff
238,6,0,posCtlPid,yKp
239,6,0,posCtlPid,yKi
240,6,0,posCtlPid,yKd
241,6,0,posCtlPid,yKff
242,6,0,posCtlPid,zKp
243,6,0,posCtlPid,zKi
244,6,0,posCtlPid,zKd
245,6,0,posCtlPid,zKff
246,9,0,posCtlPid,thrustBase
247,9,0,posCtlPid,thrustMin
248,6,0,posCtlPid,rLimit
249,6,0,posCtlPid,pLimit
250,6,0,posCtlPid,xVelMax
251,6,0,posCtlPid,yVelMax
252,6,0,posCtlPid,zVelMax
253,6,0,velCtlPid,vxKp
254,6,0,velCtlPid,vxKi
255,6,0,velCtlPid,vxKd
256,6,0,velCtlPid,vxKFF
257,6,0,velCtlPid,vyKp
258,6,0,velCtlPid,vyKi
259,6,0,velCtlPid,vyKd
260,6,0,velCtlPid,vyKFF
261,6,0,velCtlPid,vzKp
262,6,0,velCtlPid,vzKi
263,6,0,velCtlPid,vzKd
264,6,0,velCtlPid,vzKFF
265,6,0,posEstAlt,estAlphaAsl
266,6,0,posEstAlt,estAlphaZr
267,6,0,posEstAlt,velFactor
268,6,0,posEstAlt,velZAlpha
269,6,0,posEstAlt,vAccDeadband
270,10,1,firmware,revision0
271,9,1,firmware,revision1
272,8,1,firmware,modified
273,6,0,P1,Mass
274,6,0,P1,I_xx
275,6,0,P1,I_yy
276,6,0,P1,Izz
277,6,0,P1,Prop_14_x
278,6,0,P1,Prop_14_y
279,6,0,P1,Prop_23_x
280,6,0,P1,Prop_23_y
281,6,0,P1,C_tf
282,6,0,P1,Tust_max
283,6,0,P1,L_eff
284,6,0,P1,Fwd_Reach
285,8,0,P1,Armed
286,8,0,P1,PolicyType
287,8,0,P1,SAR_Type
288,6,0,P2,P_kp_xy
289,6,0,P2,P_kd_xy
290,6,0,P2,P_ki_xy
291,6,0,P2,i_range_xy
292,6,0,P2,P_kp_z
293,6,0,P2,P_Kd_z
294,6,0,P2,P_ki_z
295,6,0,P2,i_range_Z
296,6,0,P2,R_kp_xy
297,6,0,P2,R_kd_xy
298,6,0,P2,R_ki_xy
299,6,0,P2,i_range_R_xy
300,6,0,P2,R_kpz
301,6,0,P2,R_kdz
302,6,0,P2,R_ki_z
303,6,0,P2,i_range_R_z
